"연월일","총가입회원","회원가입","회원탈퇴","앱설치","접속자"
"20190616","78229","319","28","381","2755"
"20190615","77910","538","172","465","3500"
"20190614","77372","301","25","376","3421"
"20190613","77071","443","39","524","3435"
"20190612","76628","299","18","364","3332"
"20190611","76329","306","45","366","3372"
"20190610","76023","288","28","350","2785"
"20190609","75735","390","52","428","3173"
"20190608","75345","437","105","407","3427"
"20190607","74908","440","69","469","3952"
"20190606","74468","498","115","469","3095"
"20190605","73970","377","60","414","3734"
"20190604","73593","385","95","431","3537"
"20190603","73208","296","18","388","3024"
"20190602","72912","381","75","398","3035"
"20190601","72531","444","61","514","3731"
"20190531","72087","496","85","532","3610"
"20190530","71591","429","42","498","3516"
"20190529","71162","418","15","498","3261"
"20190528","70744","315","17","385","3249"
"20190527","70429","225","5","298","6106"
"20190526","70204","295","31","329","2407"
"20190525","69909","311","34","368","2737"
"20190524","69598","290","11","365","3831"
"20190523","69308","252","8","311","2763"
"20190522","69056","245","3","328","2877"
"20190521","68811","265","27","301","7822"
"20190520","68546","199","29","207","1990"
"20190519","68347","271","71","267","2078"
"20190518","68076","349","70","364","2447"
"20190517","67727","302","20","371","2691"
"20190516","67425","347","7","413","2741"
"20190515","67078","425","3","511","2886"
"20190514","66653","230","6","300","2497"
"20190513","66423","182","3","240","1860"
"20190512","66241","154","8","202","1632"
"20190511","66087","220","6","310","2282"
"20190510","65867","237","22","294","2504"
"20190509","65630","239","4","303","2640"
"20190508","65391","216","3","277","6771"
"20190507","65175","248","5","333","2540"
"20190506","64927","219","7","282","1751"
"20190505","64708","209","6","270","1650"
"20190504","64499","200","12","271","1824"
"20190503","64299","238","14","287","2446"
"20190502","64061","264","4","315","2600"
"20190501","63797","264","1","321","2814"
"20190430","63533","259","8","320","2661"
"20190429","63274","208","17","265","2040"
"20190428","63066","209","5","270","2167"
"20190427","62857","234","3","298","2449"
"20190426","62623","242","2","305","2644"
"20190425","62381","278","5","356","2572"
"20190424","62103","247","5","318","2733"
"20190423","61856","238","1","306","4370"
"20190422","61618","193","4","253","1879"
"20190421","61425","224","0","287","1874"
"20190420","61201","219","0","281","2096"
"20190419","60982","292","6","353","3106"
"20190418","60690","378","1","465","2524"
"20190417","60312","857","5","1029","3364"
"20190416","59455","214","0","283","2623"
"20190415","59241","166","3","214","6149"
"20190414","59075","148","2","197","1705"
"20190413","58927","182","2","227","1830"
"20190412","58745","230","2","288","2266"
"20190411","58515","154","2","202","2034"
"20190410","58361","156","2","207","1972"
"20190409","58205","203","1","268","1963"
"20190408","58002","144","2","170","1670"
"20190407","57858","142","0","193","1616"
"20190406","57716","175","4","226","1959"
"20190405","57541","156","1","198","1995"
"20190404","57385","192","2","235","2283"
"20190403","57193","216","3","279","7335"
"20190402","56977","219","3","276","2054"
"20190401","56758","211","24","247","1796"
"20190331","56547","205","15","234","1903"
"20190330","56342","290","62","273","2170"
"20190329","56052","205","2","248","2008"
"20190328","55847","332","3","405","2073"
"20190327","55515","326","3","396","2151"
"20190326","55189","183","5","213","2003"
"20190325","55006","153","5","201","1592"
"20190324","54853","254","5","315","2306"
"20190323","54599","195","9","253","1950"
"20190322","54404","289","74","278","2099"
"20190321","54115","160","1","208","1824"
"20190320","53955","165","1","218","1791"
"20190319","53790","225","14","263","1952"
"20190318","53565","180","28","196","1509"
"20190317","53385","276","67","261","1844"
"20190316","53109","246","4","308","2167"
"20190315","52863","228","6","270","1924"
"20190314","52635","205","1","266","1859"
"20190313","52430","187","5","231","1950"
"20190312","52243","224","20","264","1920"
"20190311","52019","200","4","241","1641"
"20190310","51819","282","23","315","2551"
"20190309","51537","311","15","372","2199"
"20190308","51226","263","10","312","2179"
"20190307","50963","295","2","362","2064"
"20190306","50668","347","6","424","2170"
"20190305","50321","342","12","416","2114"
"20190304","49979","260","8","304","1621"
"20190303","49719","218","3","272","1694"
"20190302","49501","236","8","284","1835"
"20190301","49265","232","5","258","1584"
"20190228","49033","222","25","247","1895"
"20190227","48811","220","3","283","1822"
"20190226","48591","170","1","217","1711"
"20190225","48421","194","1","235","1495"
"20190224","48227","222","2","270","1604"
"20190223","48005","217","1","269","1683"
"20190222","47788","233","1","269","1754"
"20190221","47555","172","3","218","2982"
"20190220","47383","194","2","235","1731"
"20190219","47189","193","1","235","1619"
"20190218","46996","174","1","206","1281"
"20190217","46822","220","0","252","1577"
"20190216","46602","205","0","285","1784"
"20190215","46397","195","1","228","1737"
"20190214","46202","219","6","268","4397"
"20190213","45983","227","1","288","1865"
"20190212","45756","368","4","431","2130"
"20190211","45388","191","0","234","1382"
"20190210","45197","219","4","255","1728"
"20190209","44978","307","4","361","1938"
"20190208","44671","306","2","356","2072"
"20190207","44365","280","4","331","2034"
"20190206","44085","227","5","266","1353"
"20190205","43858","193","2","225","1210"
"20190204","43665","282","13","319","1228"
"20190203","43383","214","6","262","1522"
"20190202","43169","316","8","371","1983"
"20190201","42853","338","12","372","2117"
"20190131","42515","337","2","395","1686"
"20190130","42178","208","3","273","1657"
"20190129","41970","207","3","269","1666"
"20190128","41763","165","6","214","1272"
"20190127","41598","223","4","267","1417"
"20190126","41375","222","3","286","1622"
"20190125","41153","189","4","254","1457"
"20190124","40964","221","0","272","1547"
"20190123","40743","190","4","254","1437"
"20190122","40553","200","3","256","1584"
"20190121","40353","249","1","309","1208"
"20190120","40104","468","0","578","1667"
"20190119","39636","214","2","268","1498"
"20190118","39422","213","1","279","3848"
"20190117","39209","222","0","291","1520"
"20190116","38987","179","0","242","1494"
"20190115","38808","177","1","217","1383"
"20190114","38631","201","1","261","1043"
"20190113","38430","358","2","437","1572"
"20190112","38072","194","2","242","1254"
"20190111","37878","237","4","294","1508"
"20190110","37641","202","1","266","1284"
"20190109","37439","230","1","300","1442"
"20190108","37209","269","5","354","1602"
"20190107","36940","449","4","560","1387"
"20190106","36491","352","2","395","1460"
"20190105","36139","287","8","341","1468"
"20190104","35852","239","7","320","1476"
"20190103","35613","284","2","350","1475"
"20190102","35329","250","8","301","1583"
"20190101","35079","192","1","250","926"
"20181231","34887","157","1","202","924"
"20181230","34730","195","0","255","1105"
"20181229","34535","213","2","249","1095"
"20181228","34322","186","2","231","1149"
"20181227","34136","222","0","287","1114"
"20181226","33914","202","2","273","1185"
"20181225","33712","168","1","206","889"
"20181224","33544","158","5","220","1661"
"20181223","33386","182","1","247","1094"
"20181222","33204","167","0","228","1030"
"20181221","33037","194","3","260","3142"
"20181220","32843","204","6","301","1210"
"20181219","32639","185","2","245","1094"
"20181218","32454","179","2","256","1089"
"20181217","32275","138","3","183","816"
"20181216","32137","209","2","280","1031"
"20181215","31928","322","2","373","1346"
"20181214","31606","549","3","719","1577"
"20181213","31057","157","2","218","958"
"20181212","30900","172","0","224","1108"
"20181211","30728","182","0","235","1099"
"20181210","30546","167","7","193","825"
"20181209","30379","235","3","284","1049"
"20181208","30144","369","1","439","1345"
"20181207","29775","368","3","427","1380"
"20181206","29407","1334","7","1922","2733"
"20181205","28073","170","4","241","968"
"20181204","27903","159","0","220","907"
"20181203","27744","126","3","203","657"
"20181202","27618","200","1","265","920"
"20181201","27418","208","0","277","883"
"20181130","27210","155","2","209","840"
"20181129","27055","177","3","235","884"
"20181128","26878","179","3","258","979"
"20181127","26699","170","0","246","861"
"20181126","26529","152","3","230","645"
"20181125","26377","170","2","218","819"
"20181124","26207","189","1","244","859"
"20181123","26018","203","2","305","2407"
"20181122","25815","215","0","309","928"
"20181121","25600","298","2","404","1007"
"20181120","25302","158","1","218","795"
"20181119","25144","121","2","181","545"
"20181118","25023","153","2","200","616"
"20181117","24870","178","1","239","771"
"20181116","24692","143","2","201","745"
"20181115","24549","101","2","150","735"
"20181114","24448","98","2","137","698"
"20181113","24350","86","0","131","732"
"20181112","24264","63","4","91","427"
"20181111","24201","76","0","104","535"
"20181110","24125","102","0","132","607"
"20181109","24023","85","1","134","710"
"20181108","23938","104","0","140","720"
"20181107","23834","100","1","144","653"
"20181106","23734","111","2","164","768"
"20181105","23623","78","1","136","477"
"20181104","23545","105","2","140","652"
"20181103","23440","95","3","128","644"
"20181102","23345","141","5","180","721"
"20181101","23204","157","2","218","878"
"20181031","23047","125","0","184","768"
"20181030","22922","94","2","141","663"
"20181029","22828","61","0","108","372"
"20181028","22767","80","2","116","498"
"20181027","22687","91","0","128","509"
"20181026","22596","63","5","87","445"
"20181025","22533","74","0","104","598"
"20181024","22459","93","2","111","1757"
"20181023","22366","98","2","135","647"
"20181022","22268","56","2","66","330"
"20181021","22212","97","2","129","550"
"20181020","22115","112","0","156","597"
"20181019","22003","102","2","120","624"
"20181018","21901","106","1","145","534"
"20181017","21795","83","0","106","497"
"20181016","21712","56","4","77","483"
"20181015","21656","46","0","63","298"
"20181014","21610","47","0","62","382"
"20181013","21563","42","0","65","414"
"20181012","21521","78","2","91","555"
"20181011","21443","67","2","95","498"
"20181010","21376","64","1","90","544"
"20181009","21312","42","1","61","207"
"20181008","21270","59","1","87","338"
"20181007","21211","59","1","96","506"
"20181006","21152","68","2","87","504"
"20181005","21084","65","0","95","506"
"20181004","21019","78","1","102","597"
"20181003","20941","61","1","82","301"
"20181002","20880","76","0","107","558"
"20181001","20804","77","3","106","378"
"20180930","20727","84","0","106","557"
"20180929","20643","75","2","101","495"
"20180928","20568","113","1","152","625"
"20180927","20455","77","2","108","687"
"20180926","20378","43","1","56","278"
"20180925","20335","34","1","46","196"
"20180924","20301","15","0","21","145"
"20180923","20286","20","0","46","180"
"20180922","20266","46","0","70","454"
"20180921","20220","54","2","92","518"
"20180920","20166","67","1","99","559"
"20180919","20099","61","0","103","532"
"20180918","20038","60","1","85","579"
"20180917","19978","42","0","74","390"
"20180916","19936","39","0","70","432"
"20180915","19897","55","1","71","837"
"20180914","19842","48","2","67","2186"
"20180913","19794","62","2","91","463"
"20180912","19732","54","1","90","489"
"20180911","19678","55","0","88","532"
"20180910","19623","49","1","75","359"
"20180909","19574","49","0","87","455"
"20180908","19525","63","3","97","524"
"20180907","19462","85","1","123","604"
"20180906","19377","74","1","104","531"
"20180905","19303","145","0","201","617"
"20180904","19158","118","0","169","709"
"20180903","19040","82","3","120","397"
"20180902","18958","38","0","50","376"
"20180901","18920","50","0","77","474"
"20180831","18870","58","1","83","473"
"20180830","18812","48","3","77","484"
"20180829","18764","40","0","57","444"
"20180828","18724","47","1","75","443"
"20180827","18677","26","2","41","258"
"20180826","18651","40","0","56","355"
"20180825","18611","47","1","61","425"
"20180824","18564","43","1","65","468"
"20180823","18521","40","2","64","454"
"20180822","18481","37","2","47","535"
"20180821","18444","65","1","87","503"
"20180820","18379","32","0","44","327"
"20180819","18347","39","1","55","445"
"20180818","18308","47","2","57","462"
"20180817","18261","60","1","75","523"
"20180816","18201","56","1","70","539"
"20180815","18145","30","1","36","235"
"20180814","18115","55","1","70","566"
"20180813","18060","38","0","42","339"
"20180812","18022","46","1","62","457"
"20180811","17976","45","0","63","467"
"20180810","17931","48","0","58","480"
"20180809","17883","56","2","76","479"
"20180808","17827","53","0","75","480"
"20180807","17774","80","3","100","642"
"20180806","17694","45","3","53","343"
"20180805","17649","46","0","66","422"
"20180804","17603","52","0","74","483"
"20180803","17551","58","0","74","511"
"20180802","17493","87","0","95","563"
"20180801","17406","89","0","111","637"
"20180731","17317","96","1","123","672"
"20180730","17221","41","0","49","306"
"20180729","17180","51","1","70","413"
"20180728","17129","46","1","57","441"
"20180727","17083","65","2","75","498"
"20180726","17018","79","0","99","513"
"20180725","16939","55","1","67","459"
"20180724","16884","63","1","81","517"
"20180723","16821","20","0","29","252"
"20180722","16801","44","0","57","360"
"20180721","16757","45","0","57","396"
"20180720","16712","43","0","51","393"
"20180719","16669","48","6","69","433"
"20180718","16621","53","0","77","436"
"20180717","16568","58","0","69","475"
"20180716","16510","30","0","41","274"
"20180715","16480","33","0","46","290"
"20180714","16447","48","2","54","369"
"20180713","16399","41","0","55","418"
"20180712","16358","52","1","66","406"
"20180711","16306","47","1","61","385"
"20180710","16259","46","1","62","432"
"20180709","16213","26","1","37","270"
"20180708","16187","44","2","45","318"
"20180707","16143","44","0","59","356"
"20180706","16099","51","1","66","430"
"20180705","16048","56","1","73","490"
"20180704","15992","65","1","76","525"
"20180703","15927","69","0","85","1567"
"20180702","15858","43","0","61","284"
"20180701","15815","44","1","53","373"
"20180630","15771","50","0","54","387"
"20180629","15721","60","1","78","424"
"20180628","15661","57","0","74","401"
"20180627","15604","83","1","103","545"
"20180626","15521","98","0","121","468"
"20180625","15423","199","0","277","541"
"20180624","15224","83","3","115","388"
"20180623","15141","97","0","135","402"
"20180622","15044","110","2","144","551"
"20180621","14934","131","0","153","1624"
"20180620","14803","139","2","192","576"
"20180619","14664","154","2","203","588"
"20180618","14510","77","4","103","301"
"20180617","14433","97","0","124","414"
"20180616","14336","136","1","169","490"
"20180615","14200","243","3","307","584"
"20180614","13957","66","0","88","365"
"20180613","13891","72","0","85","273"
"20180612","13819","41","1","60","378"
"20180611","13778","28","1","34","260"
"20180610","13750","50","0","58","303"
"20180609","13700","45","1","65","327"
"20180608","13655","46","2","61","341"
"20180607","13609","31","1","46","460"
"20180606","13578","15","1","18","206"
"20180605","13563","29","2","42","318"
"20180604","13534","47","2","67","320"
"20180603","13487","37","3","47","334"
"20180602","13450","26","1","34","356"
"20180601","13424","32","0","41","362"
"20180531","13392","47","3","60","416"
"20180530","13345","74","0","94","449"
"20180529","13271","57","2","75","421"
"20180528","13214","40","2","48","265"
"20180527","13174","31","1","38","256"
"20180526","13143","37","3","45","326"
"20180525","13106","32","0","46","335"
"20180524","13074","55","1","67","377"
"20180523","13019","61","0","79","417"
"20180522","12958","44","2","54","226"
"20180521","12914","33","0","50","236"
"20180520","12881","46","1","60","302"
"20180519","12835","46","0","57","344"
"20180518","12789","65","2","77","348"
"20180517","12724","118","4","142","425"
"20180516","12606","223","4","270","591"
"20180515","12383","50","0","71","338"
"20180514","12333","37","1","53","254"
"20180513","12296","41","0","45","284"
"20180512","12255","31","0","43","295"
"20180511","12224","41","1","52","342"
"20180510","12183","38","1","51","335"
"20180509","12145","60","1","80","369"
"20180508","12085","37","1","48","327"
"20180507","12048","30","0","34","176"
"20180506","12018","45","1","47","259"
"20180505","11973","21","1","28","171"
"20180504","11952","34","0","50","281"
"20180503","11918","39","1","45","349"
"20180502","11879","38","2","47","304"
"20180501","11841","48","1","63","345"
"20180430","11793","34","1","38","243"
"20180429","11759","36","0","43","302"
"20180428","11723","52","0","70","293"
"20180427","11671","46","0","50","343"
"20180426","11625","43","2","53","322"
"20180425","11582","66","1","76","384"
"20180424","11516","51","3","61","401"
"20180423","11465","27","0","37","250"
"20180422","11438","57","0","57","306"
"20180421","11381","67","1","86","390"
"20180420","11314","52","2","70","383"
"20180419","11262","56","0","69","346"
"20180418","11206","63","1","77","360"
"20180417","11143","55","3","66","350"
"20180416","11088","45","0","49","262"
"20180415","11043","50","0","57","302"
"20180414","10993","55","0","74","361"
"20180413","10938","52","2","57","376"
"20180412","10886","59","0","72","340"
"20180411","10827","65","1","74","380"
"20180410","10762","61","1","76","361"
"20180409","10701","52","3","62","240"
"20180408","10649","66","1","76","333"
"20180407","10583","60","0","67","341"
"20180406","10523","54","1","60","362"
"20180405","10469","53","2","65","344"
"20180404","10416","82","3","93","383"
"20180403","10334","64","1","70","385"
"20180402","10270","36","0","48","257"
"20180401","10234","56","2","63","295"
"20180331","10178","73","1","76","349"
"20180330","10105","61","2","78","359"
"20180329","10044","68","0","77","366"
"20180328","9976","76","1","85","354"
"20180327","9900","72","0","97","394"
"20180326","9828","70","0","88","300"
"20180325","9758","80","2","96","355"
"20180324","9678","96","0","119","364"
"20180323","9582","82","1","102","347"
"20180322","9500","81","1","107","360"
"20180321","9419","91","3","112","367"
"20180320","9328","95","0","120","414"
"20180319","9233","81","0","108","311"
"20180318","9152","88","1","99","337"
"20180317","9064","87","0","114","331"
"20180316","8977","89","1","116","346"
"20180315","8888","83","1","107","345"
"20180314","8805","141","3","170","451"
"20180313","8664","115","0","141","402"
"20180312","8549","73","2","92","279"
"20180311","8476","85","0","106","338"
"20180310","8391","92","0","108","321"
"20180309","8299","97","2","133","351"
"20180308","8202","125","1","143","432"
"20180307","8077","125","1","153","421"
"20180306","7952","113","2","136","394"
"20180305","7839","94","7","126","304"
"20180304","7745","95","0","120","305"
"20180303","7650","79","0","96","300"
"20180302","7571","90","1","120","343"
"20180301","7481","85","1","98","236"
"20180228","7396","111","1","147","345"
"20180227","7285","85","1","113","356"
"20180226","7200","71","0","86","273"
"20180225","7129","61","0","69","248"
"20180224","7068","83","2","100","258"
"20180223","6985","82","2","108","326"
"20180222","6903","67","1","94","314"
"20180221","6836","64","0","92","284"
"20180220","6772","88","0","103","356"
"20180219","6684","104","0","131","338"
"20180218","6580","60","1","73","215"
"20180217","6520","32","0","44","144"
"20180216","6488","30","0","29","121"
"20180215","6458","28","1","42","132"
"20180214","6430","65","2","83","275"
"20180213","6365","82","1","104","334"
"20180212","6283","63","0","81","279"
"20180211","6220","77","0","98","264"
"20180210","6143","170","1","192","416"
"20180209","5973","75","3","94","276"
"20180208","5898","92","2","119","337"
"20180207","5806","118","2","132","347"
"20180206","5688","86","1","107","297"
"20180205","5602","58","2","73","225"
"20180204","5544","70","1","73","292"
"20180203","5474","84","2","106","293"
"20180202","5390","76","1","101","295"
"20180201","5314","95","1","109","338"
"20180131","5219","108","3","110","309"
"20180130","5111","84","2","109","265"
"20180129","5027","82","0","90","289"
"20180128","4945","56","2","70","241"
"20180127","4889","83","0","103","298"
"20180126","4806","95","1","128","311"
"20180125","4711","109","2","143","332"
"20180124","4602","114","1","136","350"
"20180123","4488","105","2","134","320"
"20180122","4383","127","3","170","348"
"20180121","4256","111","3","132","320"
"20180120","4145","104","0","113","345"
"20180119","4041","241","4","327","524"
"20180118","3800","97","1","120","328"
"20180117","3703","109","0","133","331"
"20180116","3594","161","2","193","398"
"20180115","3433","182","1","242","395"
"20180114","3251","292","1","357","484"
"20180113","2959","86","0","105","284"
"20180112","2873","98","3","114","340"
"20180111","2775","91","1","112","257"
"20180110","2684","104","1","123","306"
"20180109","2580","83","3","107","254"
"20180108","2497","55","0","65","224"
"20180107","2442","60","0","71","223"
"20180106","2382","60","0","63","250"
"20180105","2322","75","2","91","247"
"20180104","2247","58","1","64","200"
"20180103","2189","67","5","78","230"
"20180102","2122","64","1","76","216"
"20180101","2058","36","0","40","125"
"20171231","2022","36","2","47","154"
"20171230","1986","32","1","40","147"
"20171229","1954","49","0","54","182"
"20171228","1905","66","1","73","198"
"20171227","1839","74","1","90","237"
"20171226","1765","59","2","76","184"
"20171225","1706","29","0","35","124"
"20171224","1677","48","0","60","164"
"20171223","1629","44","0","59","150"
"20171222","1585","58","1","68","208"
"20171221","1527","55","0","67","194"
"20171220","1472","69","3","81","213"
"20171219","1403","82","2","101","233"
"20171218","1321","117","1","162","284"
"20171217","1204","99","0","114","210"
"20171216","1105","114","1","124","252"
"20171215","991","136","3","158","344"
"20171214","855","196","4","222","410"
"20171213","659","146","2","162","370"
"20171212","513","218","4","276","523"
"20171211","295","240","4","293","646"
"20171210","55","7","3","7","77"
"20171209","48","1","0","4","20"
"20171208","47","6","3","11","101"
"20171207","41","3","2","11","159"
"20171206","38","1","2","3","124"
"20171205","37","9","1","15","108"
"20171204","28","9","1","9","109"
"20171203","19","10","1","12","31"
"20171202","9","2","0","12","85"
"20171201","7","4","1","19","219"
"20171130","3","1","0","0","39"
"20171129","2","2","0","0","17"
"20171128","0","0","0","0","0"
"20171121","0","0","0","0","0"
"20171120","0","0","0","0","10"
"20171119","0","0","0","0","0"
"20171118","0","0","0","0","0"
"20171117","0","0","0","0","1"
"20171116","0","0","0","0","1"
"20171115","0","0","0","0","3"
"20171114","0","0","0","0","0"
"20171113","0","0","0","0","0"
"20171112","0","0","0","0","0"
"20171111","0","0","0","0","0"
"20171110","0","0","0","0","0"
"20171109","0","0","0","0","0"
"20171108","0","0","0","0","1"
"20171107","0","0","0","0","0"
"20171106","0","0","0","0","0"
"20171105","0","0","0","0","0"
"20171104","0","0","0","0","0"
"20171103","0","0","0","0","4"
"20171102","0","0","0","0","3"
"20171101","0","0","0","0","12"
"20171031","0","0","0","0","5"
"20171030","0","0","0","0","11"
"20171001","0","0","0","0","0"
"20170901","0","0","0","0","0"
"20170801","0","0","0","0","0"
"20170701","0","0","0","0","0"